date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:25:27	52470/52470	---M-Z	200	added ('OK')	text/html	etag:%22ccf6-64ba4a13-7e9cfaaacaa1345c;gz%22	https://themegenix.net/html/bemet/index.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/index.html	(from )
00:25:27	109/109	---MCZ	200	added ('OK')	text/plain	etag:%227716-1705955829;gz%22	https://themegenix.net/robots.txt		(from )
00:25:28	1831/1831	---M--	200	added ('OK')	image/png	etag:%22727-64ba4a15-1208156808894bc6;;;%22	https://themegenix.net/html/bemet/assets/img/favicon.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/favicon.png	(from https://themegenix.net/html/bemet/index.html)
00:25:29	163827/163827	---M-Z	200	added ('OK')	text/css	etag:%2227ff3-64ba4a14-171a3ac2f244cb10;gz%22	https://themegenix.net/html/bemet/assets/css/bootstrap.min.css	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/css/bootstrap.min.css	(from https://themegenix.net/html/bemet/index.html)
00:25:29	68601/68601	---M-Z	200	added ('OK')	text/css	etag:%2210bf9-64ba4a14-ae5f17fcea37bdd4;gz%22	https://themegenix.net/html/bemet/assets/css/animate.min.css	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/css/animate.min.css	(from https://themegenix.net/html/bemet/index.html)
00:25:30	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-64ba4a14-a9f9626b67b6eef7;gz%22	https://themegenix.net/html/bemet/assets/css/magnific-popup.css	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/css/magnific-popup.css	(from https://themegenix.net/html/bemet/index.html)
00:25:30	59251/59251	---M-Z	200	added ('OK')	text/css	etag:%22e773-64ba4a14-ac205ff17e995e3c;gz%22	https://themegenix.net/html/bemet/assets/css/fontawesome-all.min.css	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/css/fontawesome-all.min.css	(from https://themegenix.net/html/bemet/index.html)
00:25:30	1889/1889	---M-Z	200	added ('OK')	text/css	etag:%22761-64ba4a14-a897f9c44e387c57;gz%22	https://themegenix.net/html/bemet/assets/css/flaticon.css	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/css/flaticon.css	(from https://themegenix.net/html/bemet/index.html)
00:25:30	3620/3620	---M-Z	200	added ('OK')	text/css	etag:%22e24-64ba4a14-6c5af531efbe723f;gz%22	https://themegenix.net/html/bemet/assets/css/odometer.css	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/css/odometer.css	(from https://themegenix.net/html/bemet/index.html)
00:25:31	16233/16233	---M-Z	200	added ('OK')	text/css	etag:%223f69-64ba4a14-a420f975eb2a2a36;gz%22	https://themegenix.net/html/bemet/assets/css/jquery-ui.css	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/css/jquery-ui.css	(from https://themegenix.net/html/bemet/index.html)
00:25:31	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-64ba4a14-aaac1c21d2046afa;gz%22	https://themegenix.net/html/bemet/assets/css/slick.css	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/css/slick.css	(from https://themegenix.net/html/bemet/index.html)
00:25:31	8636/8636	---M-Z	200	added ('OK')	text/css	etag:%2221bc-64ba4a14-6b1a79719f0460ac;gz%22	https://themegenix.net/html/bemet/assets/css/default.css	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/css/default.css	(from https://themegenix.net/html/bemet/index.html)
00:25:32	111475/111475	---M-Z	200	added ('OK')	text/css	etag:%221b373-64ba5a0c-be4c8d7c18fe1b8a;gz%22	https://themegenix.net/html/bemet/assets/css/style.css	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/css/style.css	(from https://themegenix.net/html/bemet/index.html)
00:25:32	22367/22367	---M-Z	200	added ('OK')	text/css	etag:%22575f-64ba5a0c-272287a8283b0de6;gz%22	https://themegenix.net/html/bemet/assets/css/responsive.css	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/css/responsive.css	(from https://themegenix.net/html/bemet/index.html)
00:25:32	26101/26101	---M-Z	200	added ('OK')	text/html	etag:%2265f5-64ba5a00-80507f150999784a;gz%22	https://themegenix.net/html/bemet/contact.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/contact.html	(from https://themegenix.net/html/bemet/index.html)
00:25:33	4554/4554	---M--	200	added ('OK')	image/png	etag:%2211ca-64ba4a16-7e8a88130a56d905;;;%22	https://themegenix.net/html/bemet/assets/img/logo/logo.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/logo/logo.png	(from https://themegenix.net/html/bemet/index.html)
00:25:33	52000/52000	---M-Z	200	added ('OK')	text/html	etag:%22cb20-64ba4a13-6f83a9ee73a22f88;gz%22	https://themegenix.net/html/bemet/index-2.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/index-2.html	(from https://themegenix.net/html/bemet/index.html)
00:25:33	59347/59347	---M-Z	200	added ('OK')	text/html	etag:%22e7d3-64ba4a13-1e286a69ea79507d;gz%22	https://themegenix.net/html/bemet/index-3.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/index-3.html	(from https://themegenix.net/html/bemet/index.html)
00:25:33	35037/35037	---M-Z	200	added ('OK')	text/html	etag:%2288dd-64ba4a13-7a30534b20b79bde;gz%22	https://themegenix.net/html/bemet/about.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/about.html	(from https://themegenix.net/html/bemet/index.html)
00:25:34	49718/49718	---M-Z	200	added ('OK')	text/html	etag:%22c236-64ba4a13-6086805f1022fd1b;gz%22	https://themegenix.net/html/bemet/shop.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/shop.html	(from https://themegenix.net/html/bemet/index.html)
00:25:34	49552/49552	---M-Z	200	added ('OK')	text/html	etag:%22c190-64ba4a13-be43a714aaa5a47b;gz%22	https://themegenix.net/html/bemet/shop-2.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/shop-2.html	(from https://themegenix.net/html/bemet/index.html)
00:25:34	41092/41092	---M-Z	200	added ('OK')	text/html	etag:%22a084-64ba4a13-9642de124d547a63;gz%22	https://themegenix.net/html/bemet/shop-details.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/shop-details.html	(from https://themegenix.net/html/bemet/index.html)
00:25:35	31384/31384	---M-Z	200	added ('OK')	text/html	etag:%227a98-64ba4a13-47e4992b3e07d1b7;gz%22	https://themegenix.net/html/bemet/blog.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/blog.html	(from https://themegenix.net/html/bemet/index.html)
00:25:35	39895/39895	---M-Z	200	added ('OK')	text/html	etag:%229bd7-64ba4a13-c6258c295a63a9bd;gz%22	https://themegenix.net/html/bemet/blog-details.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/blog-details.html	(from https://themegenix.net/html/bemet/index.html)
00:25:35	35637/35637	---M-Z	200	added ('OK')	text/html	etag:%228b35-64ba4a13-e982018b54babb80;gz%22	https://themegenix.net/html/bemet/services.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/services.html	(from https://themegenix.net/html/bemet/index.html)
00:25:36	30354/30354	---M-Z	200	added ('OK')	text/html	etag:%227692-64ba4a13-d0282ab1b09a2d15;gz%22	https://themegenix.net/html/bemet/services-details.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/services-details.html	(from https://themegenix.net/html/bemet/index.html)
00:25:36	37380/37380	---M-Z	200	added ('OK')	text/html	etag:%229204-64ba4a14-d7f3d46578b0f599;gz%22	https://themegenix.net/html/bemet/team-details.html	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/team-details.html	(from https://themegenix.net/html/bemet/index.html)
00:25:37	55069/55069	---M--	200	added ('OK')	image/jpeg	etag:%22d71d-64ba4a19-a299f7241f9a9a17;;;%22	https://themegenix.net/html/bemet/assets/img/bg/area_bg.jpg	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/bg/area_bg.jpg	(from https://themegenix.net/html/bemet/index.html)
00:25:38	670757/670757	---M--	200	added ('OK')	image/png	etag:%22a3c25-64ba4a18-4ab5047a7af61e67;;;%22	https://themegenix.net/html/bemet/assets/img/banner/banner_bg.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/banner/banner_bg.png	(from https://themegenix.net/html/bemet/index.html)
00:25:38	34293/34293	---M--	200	added ('OK')	image/png	etag:%2285f5-64ba4a18-6847b77eea67f73e;;;%22	https://themegenix.net/html/bemet/assets/img/banner/banner_shape01.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/banner/banner_shape01.png	(from https://themegenix.net/html/bemet/index.html)
00:25:38	91471/91471	---M--	200	added ('OK')	image/png	etag:%221654f-64ba4a18-7b43f21a74284d2f;;;%22	https://themegenix.net/html/bemet/assets/img/banner/banner_img.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/banner/banner_img.png	(from https://themegenix.net/html/bemet/index.html)
00:25:38	8611/8611	---M--	200	added ('OK')	image/png	etag:%2221a3-64ba4a18-662d890df92747f6;;;%22	https://themegenix.net/html/bemet/assets/img/banner/banner_shape02.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/banner/banner_shape02.png	(from https://themegenix.net/html/bemet/index.html)
00:25:38	67850/67850	---M--	200	added ('OK')	image/png	etag:%221090a-64ba4a18-50ff32e22e1b6958;;;%22	https://themegenix.net/html/bemet/assets/img/banner/banner_shape03.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/banner/banner_shape03.png	(from https://themegenix.net/html/bemet/index.html)
00:25:39	10062/10062	---M--	200	added ('OK')	image/png	etag:%22274e-64ba4a18-7fa6c2c091bdf0f1;;;%22	https://themegenix.net/html/bemet/assets/img/banner/banner_shape04.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/banner/banner_shape04.png	(from https://themegenix.net/html/bemet/index.html)
00:25:39	89319/89319	---M--	200	added ('OK')	image/png	etag:%2215ce7-64ba4a1a-4456ed574fbe4584;;;%22	https://themegenix.net/html/bemet/assets/img/images/features_img01.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/images/features_img01.png	(from https://themegenix.net/html/bemet/index.html)
00:25:39	10062/10062	---M--	200	added ('OK')	image/png	etag:%22274e-64ba4a1a-df9ac939924da6ad;;;%22	https://themegenix.net/html/bemet/assets/img/images/features_shape.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/images/features_shape.png	(from https://themegenix.net/html/bemet/index.html)
00:25:40	32542/32542	---M--	200	added ('OK')	image/png	etag:%227f1e-64ba4a1a-9d3e34ba8780be27;;;%22	https://themegenix.net/html/bemet/assets/img/images/features_overlay.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/images/features_overlay.png	(from https://themegenix.net/html/bemet/index.html)
00:25:40	92531/92531	---M--	200	added ('OK')	image/png	etag:%2216973-64ba4a1a-350e4d5e3cce45e2;;;%22	https://themegenix.net/html/bemet/assets/img/images/features_img02.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/images/features_img02.png	(from https://themegenix.net/html/bemet/index.html)
00:25:40	47095/47095	---M--	200	added ('OK')	image/jpeg	etag:%22b7f7-64ba4a19-3b8bc570e68af213;;;%22	https://themegenix.net/html/bemet/assets/img/bg/product_bg01.jpg	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/bg/product_bg01.jpg	(from https://themegenix.net/html/bemet/index.html)
00:25:40	1947/1947	---M--	200	added ('OK')	image/png	etag:%2279b-64ba4a1b-fae529892afb60a8;;;%22	https://themegenix.net/html/bemet/assets/img/images/title_shape.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/images/title_shape.png	(from https://themegenix.net/html/bemet/index.html)
00:25:41	38440/38440	---M--	200	added ('OK')	image/png	etag:%229628-64ba4a1e-d7ca84008034233c;;;%22	https://themegenix.net/html/bemet/assets/img/product/product_img01.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/product/product_img01.png	(from https://themegenix.net/html/bemet/index.html)
00:25:41	483/483	---M--	200	added ('OK')	image/png	etag:%221e3-64ba4a1a-67aaed7f21bd20bc;;;%22	https://themegenix.net/html/bemet/assets/img/images/line.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/images/line.png	(from https://themegenix.net/html/bemet/index.html)
00:25:41	34184/34184	---M--	200	added ('OK')	image/png	etag:%228588-64ba4a1e-1fad73bd5493bf23;;;%22	https://themegenix.net/html/bemet/assets/img/product/product_img02.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/product/product_img02.png	(from https://themegenix.net/html/bemet/index.html)
00:25:42	36198/36198	---M--	200	added ('OK')	image/png	etag:%228d66-64ba4a1e-f6d7c8de3013f494;;;%22	https://themegenix.net/html/bemet/assets/img/product/product_img03.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/product/product_img03.png	(from https://themegenix.net/html/bemet/index.html)
00:25:42	33859/33859	---M--	200	added ('OK')	image/png	etag:%228443-64ba4a1e-bb506a06faef7e9b;;;%22	https://themegenix.net/html/bemet/assets/img/product/product_shape01.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/product/product_shape01.png	(from https://themegenix.net/html/bemet/index.html)
00:25:42	379397/379397	---M--	200	added ('OK')	image/png	etag:%225ca05-64ba4a16-18b1a7663aee6f43;;;%22	https://themegenix.net/html/bemet/assets/img/gallery/gallery_img01.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/gallery/gallery_img01.png	(from https://themegenix.net/html/bemet/index.html)
00:25:43	333979/333979	---M--	200	added ('OK')	image/png	etag:%225189b-64ba4a16-7226dbc6c62a35fa;;;%22	https://themegenix.net/html/bemet/assets/img/gallery/gallery_img03.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/gallery/gallery_img03.png	(from https://themegenix.net/html/bemet/index.html)
00:25:43	458316/458316	---M--	200	added ('OK')	image/png	etag:%226fe4c-64ba4a16-189e0ff491abec39;;;%22	https://themegenix.net/html/bemet/assets/img/gallery/gallery_img02.png	C:/Users/Ryzen/Desktop/Paginas%20Clonadas/pagina%20dos/themegenix.net/html/bemet/assets/img/gallery/gallery_img02.png	(from https://themegenix.net/html/bemet/index.html)
